Work ID,URL,Title,Authors,Fandoms,Language,Warnings,Ratings,Categories,Characters,Relationships,Tags,Words,Date Published,Date Updated,Chapters,Comments,Kudos,Bookmarks,Hits,Collections,Completion Status
50509306,https://archiveofourown.org/works/50509306,About the torn fabric,English is my death (Lena013),人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Teen And Up Audiences,M/M,Tiānláng-jūn;Shàng Qīnghuá;Sū Xīyán,Shàng Qīnghuá/Tiānláng-jūn,POV Tiānláng-jūn;Bisexual Tiānláng-jūn;Alternate Universe - Canon Divergence;Crack;Deity Shàng Qīnghuá;BAMF Shàng Qīnghuá;Airplane Bro Shàng Qīnghuá;Atmospheric sketch;Wordcount: 100-500,480,2023.10.02,02 Oct 2023,1/1,3,125,10,430,0,Complete
50514238,https://archiveofourown.org/works/50514238,Shit the Statue's Pretty,LethargicLei,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings;No Archive Warnings Apply,Not Rated,M/M,Shàng Qīnghuá;Shěn Jiǔ | Original Shěn Qīngqiū,Shàng Qīnghuá/Shěn Jiǔ | Original Shěn Qīngqiū;Shàng Qīnghuá & Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Promptober;Museum Date;Kinda;bingyuan kinda very background;Alternate Universe - Modern Setting;statue!Shen Jiu;im gonna actually do this years promptober;english isn't my first language i am so sorry;Shen yuan has chronic pain but its only mentioned in passing,1035,2023.10.02,02 Oct 2023,1/1,5,52,4,293,0,Complete
50511325,https://archiveofourown.org/works/50511325,Anth Analysis Hour: Environment of SVSSS,LivingMeatloaf (InsanitysxCreation);Owldork1998 (owldork1998),人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,General Audiences,No category,,,Anth Analysis Hour;Meta;Worldbuilding;I've got a degree and I'm going to use it for fandom;crossposted from Twitter,1369,2023.10.02,02 Oct 2023,1/1,12,10,6,55,0,Complete
50526586,https://archiveofourown.org/works/50526586,Whose Damn Dog is This?,YJcore,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Mature,M/M,Shěn Yuán | Shěn Qīngqiū;Shěn Jiǔ | Original Shěn Qīngqiū;Luò Bīnghé;Original Luò Bīnghé;Shen Qingqiu,Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé/Original Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū;Shěn Jiǔ | Original Shěn Qīngqiū & Shěn Yuán | Shěn Qīngqiū,Xin Mo used for poor decisions;Oblivious Shěn Yuán | Shěn Qīngqiū;Bottom Shěn Yuán | Shěn Qīngqiū;POV Shěn Yuán | Shěn Qīngqiū;Shen Yuan goes through it;Post-Bingge vs. Bingmei Extra;Shen Jiu bullies Shen Yuan;A sprinkle of Moshang;Bingyuan;jiuyuan;Shěn Jiǔ | Original Shěn Qīngqiū and Shěn Yuán | Shěn Qīngqiū are Not the Same Person;Praise Kink;Bingge is oblivious,1538,2023.10.03,03 Oct 2023,1/?,2,51,13,423,0,Incomplete
50546056,https://archiveofourown.org/works/50546056,Killer On Line 1,KabukiPop,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Mature,M/M,Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé;Shàng Qīnghuá,Luò Bīnghé & Shěn Yuán | Shěn Qīngqiū,2000s;Modern;Horror;Stalker Binghe;Obsessive Behavior;radio station AU;Shen Brothers;Thriller;Tags May Change,1654,2023.10.03,03 Oct 2023,1/?,10,23,4,210,0,Incomplete
50517028,https://archiveofourown.org/works/50517028,caged,Space_Samurai,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Original Luò Bīnghé;Shěn Jiǔ | Original Shěn Qīngqiū,Original Luò Bīnghé/Shěn Jiǔ | Original Shěn Qīngqiū,Master/Slave;Intercrural Sex;Concubine Shěn Jiǔ | Original Shěn Qīngqiū;POV Luò Bīnghé;Dubious Consent;Power Imbalance;Immortal-Binding Cables (Scum Villain);Boys in Chains,4093,2023.10.03,03 Oct 2023,1/1,16,227,21,1666,0,Complete
50540395,https://archiveofourown.org/works/50540395,Disposition and Inclination,BritKit,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Teen And Up Audiences,M/M,Shěn Jiǔ | Original Shěn Qīngqiū;Liǔ Qīnggē;Original Luò Bīnghé;Yuè Qīngyuán;Madam of the Warm Red Pavilion (Scum Villain);Mù Qīngfāng,Liǔ Qīnggē/Shěn Jiǔ | Original Shěn Qīngqiū;Original Luò Bīnghé/Shěn Jiǔ | Original Shěn Qīngqiū;Shěn Jiǔ | Original Shěn Qīngqiū/Yuè Qīngyuán,Alternate Universe - Canon Divergence;Alternate Universe - Modern Setting;Alternate Universe - College/University,1527,2023.10.03,03 Oct 2023,1/?,0,71,10,447,0,Incomplete
50465788,https://archiveofourown.org/works/50465788,Suit,OnlyPandora,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Luò Bīnghé;Shěn Yuán | Shěn Qīngqiū,Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Omorashi;Kinktober;Dream Sex;Binghe tries to recreate modern times via Shen Qingqiu's dreams;parking garage sex;dude i have no idea how to tag this;Wall Sex;Roleplay;Binghe calls Shen Qingqiu Gege;attempted car sex;Shen Qingqiu drinks too much water and pays the consequences;Suits;Semi-Public Sex;technically;Bladder Control;Dry Orgasm;i had to do so much piss research for this;you don't understand;Shen Qingqiu cums too hard;Top Luò Bīnghé;Bottom Shěn Yuán | Shěn Qīngqiū,3258,2023.10.05,05 Oct 2023,1/1,6,39,2,344,0,Complete
50499184,https://archiveofourown.org/works/50499184,what my heart is worth,pennydaniels,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,F/M,Yuè Qīngyuán;Shěn Jiǔ | Original Shěn Qīngqiū;Cāng Qióng Mountain Sect Peak Lords,Shěn Jiǔ | Original Shěn Qīngqiū/Yuè Qīngyuán,Alternate Universe - Gender Changes;Female Yuè Qīngyuán;Alternate Universe - Canon Divergence;more of a slice of life vibe!;qi-jie is a mess;Shen Qingqiu is his own warning haha;peak lords comedic ensemble,26360,2023.10.02,02 Oct 2023,1/1,18,143,35,731,0,Complete
50465443,https://archiveofourown.org/works/50465443,Long Night Short Dream,Agilo,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Tiānláng-jūn;Zhúzhī-láng,Tiānláng-jūn/Zhúzhī-láng,Top Tiānláng-jūn;Bottom Zhúzhī-láng;dream realm;PWP;Macro/Micro;Size Difference;Anal Fingering;Belly Bulge;Incest;Uncle/Nephew Incest,1154,2023.10.01,01 Oct 2023,1/1,5,13,3,253,1,Complete
50473258,https://archiveofourown.org/works/50473258,Consort Jiu’s new clothes,RoundBlueDuck,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Luò Bīnghé;Shěn Jiǔ | Original Shěn Qīngqiū;Yuè Qīngyuán,Luò Bīnghé/Shěn Jiǔ | Original Shěn Qīngqiū,Cucking;Infidelity;implied attic wifeing;NSFW;Major character death - Freeform;Bittersweet Ending,4728,2023.10.01,01 Oct 2023,1/1,4,46,4,521,1,Complete
50468377,https://archiveofourown.org/works/50468377,Coffin,OnlyPandora,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé,Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Frottage;Grinding;Kinktober;Coffin Scene;faux danger;Teasing,1481,2023.10.06,06 Oct 2023,1/1,4,72,6,480,0,Complete
50464792,https://archiveofourown.org/works/50464792,Blood,OnlyPandora,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Original Luò Bīnghé;Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé,Original Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Blood and Violence;Biting;Hate Sex;Rape/Non-con Elements;Dream Sex;Rough Sex;Swords;Light Bondage;Bingge is a dick;foiled orgasm;Kinktober,3794,2023.10.03,03 Oct 2023,1/1,5,49,8,395,0,Complete
50455852,https://archiveofourown.org/works/50455852,Chaos Theory,dream_another_dream,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,Liǔ Qīnggē;Shěn Yuán | Shěn Qīngqiū,Liǔ Qīnggē/Shěn Yuán | Shěn Qīngqiū,Crack;Fluff;Fluff and Crack;Misunderstandings;Humor;Butterfly Effect;Wedding Fluff;Marriage,1482,2023.10.01,01 Oct 2023,1/1,12,110,10,655,1,Complete
50463061,https://archiveofourown.org/works/50463061,Help! A System Kidnapped Me From the World I was Isekai'd to and I was Isekai'd again!!,Terias,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù;聖者無双 | The Great Cleric: White-Collar Survival in Another World (anime),English,No Archive Warnings Apply,Mature,Gen,Luciel (The Great Cleric);System (Scum Villain),Luciel (The Great Cleric) & System (Scum Villain),Alternate Universe - Canon Divergence;System Being an Asshole (Scum Villain);Crossover;MC from another world gets isekai'd to SVSSS;Transmigrator Luciel gets transmigrated again;Fix-It,1603,2023.10.01,01 Oct 2023,1/?,4,8,0,32,0,Incomplete
50426002,https://archiveofourown.org/works/50426002,Let Me in Your Arms to Feel,piraninjedi,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Mòběi-jūn;Shàng Qīnghuá;Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé;Shā Huálíng;Liǔ Míngyān;Liǔ Qīnggē;Tiānláng-jūn;Lǐnguāng-jūn,Mòběi-jūn/Shàng Qīnghuá,Alternate Universe - Modern Setting;Sugar Baby AU;Romance;Angst;Slow Burn;Misunderstandings;Hurt/Comfort;Panic Attacks;Minor Violence;Stalking;Falling In Love;Smut;First Time;Anal Sex;Rimming;Light Dom/sub;cumplane friendship;Illustrations;MEBigBang23;Blow Jobs,61626,2023.09.30,06 Oct 2023,9/9,112,166,28,2165,0,Complete
50423371,https://archiveofourown.org/works/50423371,You Are The Light In My Heart,EmberKitsune,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Graphic Depictions Of Violence,Mature,M/M;Other,Shěn Jiǔ | Original Shěn Qīngqiū;Original Luò Bīnghé;Cāng Qióng Mountain Sect Peak Lords;Original Male Character(s);Lǎo Gōngzhǔ | Old Palace Master;Tiānláng-jūn;Zhúzhī-láng;System - Character;Yuè Qīngyuán;Liǔ Qīnggē;Mù Qīngfāng;Qí Qīngqī;Wèi Qīngwēi;Qiū Hǎitáng;Other Character Tags to Be Added,Original Shěn Qīngqiū/Original Male Character,Feral Behavior;Angst with a Happy Ending;Angst;Happy Shěn Jiǔ | Original Shěn Qīngqiū;Angst and Hurt/Comfort;First time so sorry if this is kinda bad;Healing;Post-Traumatic Stress Disorder - PTSD;Yue Hua and his friends are chaotic group;Just two traumatized man loving each other,81,2023.09.30,05 Oct 2023,2/?,6,51,6,650,0,Incomplete
50404438,https://archiveofourown.org/works/50404438,Almost Perfect,kiseki_pop,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Major Character Death,Mature,M/M,Shěn Jiǔ | Original Shěn Qīngqiū;Shěn Yuán | Shěn Qīngqiū;Yuè Qīngyuán;Other Characters Mentioned,Shěn Jiǔ | Original Shěn Qīngqiū/Shěn Yuán | Shěn Qīngqiū,Alternate Universe - Robots & Androids;Robot/Human Relationships;Kissing;Sex;Yandere Shěn Yuán | Shěn Qīngqiū;Body Modification,8241,2023.09.30,30 Sep 2023,1/1,21,204,27,1154,1,Complete
50414221,https://archiveofourown.org/works/50414221,The Soul Lingers,BusanBoys1013,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Mature,M/M,Shàng Qīnghuá;Mòběi-jūn;Liǔ Míngyān;Shā Huálíng,Mòběi-jūn/Shàng Qīnghuá,Alternate Universe - Modern Setting;Haunted Houses;Past Character Death;Ghost Mòběi-jūn;Gothic Romance;Minor Liǔ Míngyān/Shā Huálíng;Blood and Injury;Horror,7586,2023.09.29,04 Oct 2023,2/6,1,4,0,76,0,Incomplete
50407129,https://archiveofourown.org/works/50407129,Shizun and Shizun and Their Little Kitten Bingmei,Ilthit,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Luò Bīnghé;Shěn Jiǔ | Original Shěn Qīngqiū;Shěn Yuán | Shěn Qīngqiū,Luò Bīnghé/Shěn Jiǔ | Original Shěn Qīngqiū;Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,foreground Bingjiu;Background Bingqiu - Freeform;Dominant Shěn Jiǔ | Original Shěn Qīngqiū;Submissive Luò Bīnghé;Season of Kink 2023;Gags;Crossdressing Kink;Cock & Ball Torture;Master/Disciple Relationship;Established Relationship;Face Slapping;Feminization,540,2023.09.29,29 Sep 2023,1/1,1,54,4,616,0,Complete
50388283,https://archiveofourown.org/works/50388283,Muted Howls,Laira1,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Teen And Up Audiences,M/M,Mòběi-jūn;Shàng Qīnghuá,Mòběi-jūn/Shàng Qīnghuá,Alternate Universe - Modern Setting;Alternate Universe - College/University;Wolf Mòběi-jūn;Human Shàng Qīnghuá;Anxiety;Hurt/Comfort;Emotional Hurt;Emotional Baggage;BAMF Shàng Qīnghuá;Bad Parenting;Alternate Universe - Werewolf;Werewolves;Protective Mòběi-jūn,1673,2023.09.28,28 Sep 2023,1/1,2,48,2,310,0,Complete
50400427,https://archiveofourown.org/works/50400427,How Ming Fan Got His Groove Back,dream_another_dream,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Teen And Up Audiences,F/F;M/M;Multi,Míng Fān (Scum Villain);Gōngyí Xiāo;Níng Yīngyīng;Shā Huálíng;Liǔ Míngyān;Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé,Gōngyí Xiāo/Míng Fān;Liǔ Míngyān/Níng Yīngyīng;Liǔ Míngyān/Níng Yīngyīng/Shā Huálíng;Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Ming Fan-centric;ming fan is so done;ming fan is the only sane person in this entire world;BAMF Míng Fān (Scum Villain);Crack Treated Seriously;Lowkey Crack;Rare Pairings;Attempt at Humor,3090,2023.09.29,28 Sep 2023,1/3,7,25,2,150,0,Incomplete
50352088,https://archiveofourown.org/works/50352088,"When We Speak, It's Less Lonely",James_Hive,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Graphic Depictions Of Violence;Major Character Death,Teen And Up Audiences,M/M,Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé;Original Luò Bīnghé,,Deaf Character;White Lotus Luò Bīnghé;Oblivious Shěn Yuán | Shěn Qīngqiū;Alternate Universe - No System (Scum Villain);Angst and Feels;Fluff and Angst;Misunderstandings;Yandere Luò Bīnghé;Protective older brother shen qingqiu;shidi shen yuan;Shen Brothers;Shen Siblings;Deaf Shen Yuan;Possessive Luò Bīnghé;Luo Bingge appearance;ASL;Sign Language,5381,2023.09.26,26 Sep 2023,2/?,31,109,18,542,0,Incomplete
50376790,https://archiveofourown.org/works/50376790,Wife Bingge,GreenFlamedWriter,穿书自救指南 | Scumbag System (Cartoon);人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Shàng Qīnghuá;Luò Bīnghé;Original Luò Bīnghé;Shěn Yuán | Shěn Qīngqiū,Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū;Original Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,PIDW AU;Scum Villain AU;AU;Alternate Universe - Canon Divergence;What if Shen Yuan was the PIDW artist and had a say in the story?;PIDW Bingge in Modern setting;OG binghe and Modern Shen Yuan;Alternate Universe - Modern Setting;Binghe is a house keeper;Shen Yuan artist;they live together;Living Together;Fluff;Smut;handjobs;denial shen yuan;lying;Stalker;some dark stuff but it'll all work out;Domestic;Complete;Consensual;SY is very curious;First Time,5952,2023.09.27,27 Sep 2023,1/1,2,110,20,1174,0,Complete
50367433,https://archiveofourown.org/works/50367433,Sukuna’s Self Saving System,SunnySama,呪術廻戦 | Jujutsu Kaisen (Manga);呪術廻戦 | Jujutsu Kaisen (Anime);Cinderella (1997);人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Not Rated,F/M,Sukuna | Ryoumen Sukuna;Cinderella (Cinderella 1997);Itadori Yuuji;Nanami Kento;Gojo Satoru;Gojo Clan (Jujutsu Kaisen);Fushiguro Megumi;Prince Christopher (Cinderella 1997);Stepmother (Cinderella 1997);Fairy Godmother (Cinderella 1997),Cinderella (Disney)/Sukuna | Ryoumen Sukuna;Itadori Yuuji & Sukuna | Ryoumen Sukuna;Gojo Satoru & Sukuna | Ryoumen Sukuna;Itadori Yuuji & Nanami Kento;Gojo Satoru & Nanami Kento;Gojo Satoru & Itadori Yuuji;Itadori Yuuji & Kenjaku | Fake Getou Suguru;Itadori Jin/Kenjaku | Fake Getou Suguru;Fushiguro Megumi & Itadori Yuuji;Itadori Yuuji & Kugisaki Nobara,Fluff;Eventual Romance;Slow Romance;Angst and Romance;Slow Burn;Fluff and Angst;Angst;Family;Family Fluff;Brothers;Brotherly Love;Itadori Yuuji is Not Sukuna | Ryoumen Sukuna's Vessel;Itadori Yuuji & Sukuna | Ryoumen Sukuna are Siblings;Human Sukuna | Ryoumen Sukuna;Soft Sukuna | Ryoumen Sukuna;Gojo Satoru Being an Idiot;Sukuna | Ryoumen Sukuna is a Little Shit;Soft Nanami Kento;Parental Nanami Kento;Soft Gojo Satoru;Itadori Yuuji Needs a Hug,3559,2023.09.28,28 Sep 2023,2/2,5,33,5,289,0,Complete
